GSSHA has found potential issues in your channel thalweg profile
Potenial Issues Codes and reccomendations 
--> Issue Codes: 0 - thalweg elevation higher than overland flow cell elevation
                 Reccomended - correct if performing groundwater simulations or using the OVERBANK_FLOW or OVERBANK_BACKWATER cards 
                 see http://www.gsshawiki.com/Surface_Water_Routing:Channel_Routing#5.1.5_Longitudinal_Channel_Profile_Smoothing  

Issues identified 
Issue     link    node    thalweg     cell    cell       elevation 
Code      number  number  elevation   number  elevation  difference
0          19       5     330.783     3542     327.683     3.099356
0          19       4     333.959     3542     327.683     6.275453
0           2       3     419.322     3560     415.117     4.204607
0           2       2     433.288     3560     415.117    18.170709
0          19       3     337.213     3643     332.597     4.616264
0          19       4     333.959     3644     329.400     4.558595
0          19       3     337.213     3644     329.400     7.812644
0          19       4     333.959     3645     328.542     5.417024
0           7      28     401.794     3731     401.591     0.203203
0          18       6     346.128     3742     344.069     2.059037
0           7      42     347.350     3742     344.069     3.280124
0          19       2     340.488     3743     338.989     1.498866
0          19       1     343.881     3743     338.989     4.891284
0          19       3     337.213     3744     335.793     1.419914
0          19       2     340.488     3744     335.793     4.695247
0           7      29     397.469     3833     396.775     0.693646
0           7      33     381.302     3937     377.664     3.638010
0           7      34     377.384     3938     374.759     2.624076
0          18       2     362.748     3942     362.095     0.653190
0           9      26     589.627     4008     589.257     0.370088
0           9      28     573.291     4010     570.287     3.004478
0           9      29     564.690     4011     561.474     3.215621
0           9      30     557.471     4012     552.353     5.118493
0           9      31     551.806     4013     546.129     5.677205
0           9      18     646.751     4102     642.576     4.174637
0           9      26     589.627     4109     587.560     2.067048
0           9      34     534.665     4116     531.492     3.173381
0           9      35     527.164     4117     523.929     3.234901
0           9      36     518.070     4118     512.555     5.515453
0           9      37     511.852     4119     507.316     4.535806
0          13       7     439.595     4129     439.280     0.315246
0          13       8     435.139     4130     434.224     0.915172
0          13       9     431.885     4131     430.472     1.413293
0           8      15     385.991     4140     385.957     0.033898
0          17       3     386.520     4143     377.621     8.899303
0           9      14     677.373     4200     675.108     2.264238
0           9      15     669.288     4201     668.820     0.467569
0           9      16     663.242     4202     659.658     3.584136
0           9      38     504.607     4221     502.078     2.528545
0           9      41     483.671     4224     482.545     1.125859
0          13       3     463.709     4228     461.808     1.900810
0          13       4     458.551     4229     454.674     3.876985
0          13       5     454.289     4230     450.246     4.043448
0          13      10     428.473     4233     426.719     1.753964
0          13      10     428.473     4234     422.967     5.506314
0          13      11     422.088     4235     416.042     6.046128
0          13      12     415.898     4236     413.034     2.864517
0          13      13     411.822     4237     409.187     2.635706
0           8      14     395.978     4242     391.758     4.219367
0          17       2     409.880     4245     404.904     4.975887
0           9       9     718.259     4298     714.000     4.258983
0           9      10     709.413     4299     704.825     4.588438
0          14       4     419.357     4341     409.282    10.075310
0          10      22     520.757     4421     519.064     1.693654
0          10      21     526.400     4421     519.064     7.336055
0          11      17     520.412     4422     518.024     2.388077
0          10      22     520.757     4422     518.024     2.733327
0          12       2     511.357     4424     506.864     4.492859
0          12       5     496.490     4426     494.765     1.725026
0          14       3     431.465     4443     428.260     3.205055
0           9       6     747.253     4501     741.665     5.587939
0          10      20     532.430     4523     528.106     4.324206
0          11      16     524.630     4524     524.235     0.394897
0          10      21     526.400     4524     524.235     2.164974
0           9       4     769.047     4605     769.001     0.046255
0          10      18     546.590     4628     539.300     7.290182
0          11      15     529.126     4630     528.263     0.862818
0           8      10     430.932     4654     430.598     0.334735
0          10      14     582.162     4731     575.196     6.966045
0          10      16     564.024     4732     563.021     1.002689
0          10      17     555.170     4733     551.788     3.381904
0          10      18     546.590     4734     545.544     1.046285
0          11      12     546.579     4841     546.068     0.510524
0           8       7     452.147     4864     450.236     1.911065
0          11      11     555.896     4944     555.241     0.655425
0           8       6     459.388     4967     452.552     6.836068
0          11      10     565.741     5043     564.867     0.874290
0           8       5     466.813     5066     460.844     5.968693
0          11       9     573.546     5138     569.643     3.902919
0          10       4     651.392     5221     650.185     1.206254
0          10       5     645.928     5222     641.147     4.780811
0          10       6     641.036     5223     639.409     1.626641
0          11       5     605.444     5415     599.160     6.284202
0          11       3     623.900     5572     623.467     0.432879
