"SICL"|No |No |"Silty clay loam"|"41090555"|"81280910"
"UWB"|No |Yes|"Unweathered bedrock"|"41090556"|"81280911"
"GRV-CL"|No |Yes|"Very gravelly clay loam"|"41090557"|"81280912"
"GR-CL"|No |Yes|"Gravelly clay loam"|"41090558"|"81280913"
"CL"|No |Yes|"Clay loam"|"41090559"|"81280914"
"SICL"|No |Yes|"Silty clay loam"|"41090560"|"81280915"
"SICL"|No |No |"Silty clay loam"|"41090561"|"81280916"
"SIC"|No |No |"Silty clay"|"41090561"|"81280917"
"WB"|No |Yes|"Weathered bedrock"|"41090562"|"81280918"
"SIL"|No |Yes|"Silt loam"|"41090563"|"81280919"
"SIL"|No |Yes|"Silt loam"|"41090564"|"81280920"
"SICL"|No |Yes|"Silty clay loam"|"41090565"|"81280921"
"SICL"|No |Yes|"Silty clay loam"|"41090566"|"81280922"
"UWB"|No |Yes|"Unweathered bedrock"|"41090567"|"81280923"
"SICL"|No |Yes|"Silty clay loam"|"41090568"|"81280924"
"SIC"|No |Yes|"Silty clay"|"41090569"|"81280925"
"L"|No |Yes|"Loam"|"41090570"|"81280926"
"SICL"|No |No |"Silty clay loam"|"41090571"|"81280927"
"SIC"|No |No |"Silty clay"|"41090571"|"81280928"
"WB"|No |Yes|"Weathered bedrock"|"41090572"|"81280929"
"SICL"|No |Yes|"Silty clay loam"|"41090573"|"81280930"
"SIC"|No |No |"Silty clay"|"41090574"|"81280931"
"SICL"|No |No |"Silty clay loam"|"41090574"|"81280932"
"WB"|No |Yes|"Weathered bedrock"|"41090575"|"81280933"
"SIL"|No |Yes|"Silt loam"|"41090576"|"81280934"
"SIL"|No |Yes|"Silt loam"|"41090577"|"81280935"
"SICL"|No |Yes|"Silty clay loam"|"41090578"|"81280936"
"SICL"|No |Yes|"Silty clay loam"|"41090579"|"81280937"
"MPT"|No |Yes|"Mucky peat"|"41090580"|"81280938"
"MUCK"|No |Yes|"Muck"|"41090581"|"81280939"
"C"|No |Yes|"Clay"|"41090582"|"81280940"
"SIC"|No |Yes|"Silty clay"|"41090583"|"81280941"
"SIC"|No |No |"Silty clay"|"41090584"|"81280942"
"CL"|No |No |"Clay loam"|"41090584"|"81280943"
"CL"|No |No |"Clay loam"|"41090585"|"81280944"
"CEM"|No |No |"Cemented"|"41090585"|"81280945"
"MK-SICL"|No |Yes|"Mucky silty clay loam"|"41090586"|"81280946"
"GR-SICL"|No |Yes|"Gravelly silty clay loam"|"41090587"|"81280947"
"WB"|No |Yes|"Weathered bedrock"|"41090588"|"81280948"
"GR-SICL"|No |Yes|"Gravelly silty clay loam"|"41090589"|"81280949"
"SIC"|No |Yes|"Silty clay"|"41090590"|"81280950"
"CEM"|No |Yes|"Cemented"|"41090591"|"81280951"
"CL"|No |Yes|"Clay loam"|"41090592"|"81280952"
"UWB"|No |Yes|"Unweathered bedrock"|"41090593"|"81280953"
"SICL"|No |Yes|"Silty clay loam"|"41090594"|"81280954"
"CBV-CL"|No |Yes|"Very cobbly clay loam"|"41090595"|"81280955"
"WB"|No |Yes|"Weathered bedrock"|"41090596"|"81280956"
"SICL"|No |Yes|"Silty clay loam"|"41090597"|"81280957"
"SICL"|No |No |"Silty clay loam"|"41090598"|"81280958"
"SIC"|No |No |"Silty clay"|"41090598"|"81280959"
"WB"|No |Yes|"Weathered bedrock"|"41090599"|"81280960"
"SIC"|No |Yes|"Silty clay"|"41090600"|"81280961"
"SIC"|No |No |"Silty clay"|"41090601"|"81280962"
"C"|No |No |"Clay"|"41090601"|"81280963"
"SICL"|No |Yes|"Silty clay loam"|"41090602"|"81280964"
"SIC"|No |No |"Silty clay"|"41090603"|"81280965"
"C"|No |No |"Clay"|"41090603"|"81280966"
"SIC"|No |Yes|"Silty clay"|"41090604"|"81280967"
"UWB"|No |Yes|"Unweathered bedrock"|"41090605"|"81280968"
"FRAG"|No |Yes|"Fragmental material"|"41090606"|"81280969"
"UWB"|No |Yes|"Unweathered bedrock"|"41090607"|"81280970"
"SIC"|No |Yes|"Silty clay"|"41090608"|"81280971"
"SIC"|No |No |"Silty clay"|"41090609"|"81280972"
"SICL"|No |No |"Silty clay loam"|"41090609"|"81280973"
"UWB"|No |Yes|"Unweathered bedrock"|"41090610"|"81280974"
"C"|No |Yes|"Clay"|"41090611"|"81280975"
"UWB"|No |Yes|"Unweathered bedrock"|"41090612"|"81280976"
"C"|No |Yes|"Clay"|"41090613"|"81280977"
"SICL"|No |Yes|"Silty clay loam"|"41090614"|"81280978"
"SIC"|No |No |"Silty clay"|"41090615"|"81280979"
"C"|No |No |"Clay"|"41090615"|"81280980"
"WB"|No |Yes|"Weathered bedrock"|"41090616"|"81280981"
"C"|No |Yes|"Clay"|"41090617"|"81280982"
"C"|No |Yes|"Clay"|"41090618"|"81280983"
"C"|No |Yes|"Clay"|"41090619"|"81280984"
"ST-C"|No |Yes|"Stony clay"|"41090620"|"81280985"
"ST-C"|No |Yes|"Stony clay"|"41090621"|"81280986"
"C"|No |Yes|"Clay"|"41090622"|"81280987"
"ST-C"|No |Yes|"Stony clay"|"41090623"|"81280988"
"ST-C"|No |Yes|"Stony clay"|"41090624"|"81280989"
"C"|No |Yes|"Clay"|"41090625"|"81280990"
"C"|No |Yes|"Clay"|"41090626"|"81280991"
"C"|No |Yes|"Clay"|"41090627"|"81280992"
"ST-C"|No |Yes|"Stony clay"|"41090628"|"81280993"
"ST-C"|No |Yes|"Stony clay"|"41090629"|"81280994"
"C"|No |Yes|"Clay"|"41090630"|"81280995"
"C"|No |Yes|"Clay"|"41090631"|"81280996"
"C"|No |Yes|"Clay"|"41090632"|"81280997"
"C"|No |Yes|"Clay"|"41090633"|"81280998"
"C"|No |Yes|"Clay"|"41090634"|"81280999"
"C"|No |Yes|"Clay"|"41090635"|"81281000"
"C"|No |Yes|"Clay"|"41090636"|"81281001"
"STX-C"|No |Yes|"Extremely stony clay"|"41090637"|"81281002"
"SIC"|No |Yes|"Silty clay"|"41090638"|"81281003"
"SICL"|No |Yes|"Silty clay loam"|"41090639"|"81281004"
"SR- CL SIC"|Yes|Yes|"Stratified clay loam to silty clay"|"41090640"|"81281005"
"C"|No |Yes|"Clay"|"41090641"|"81281006"
"C"|No |Yes|"Clay"|"41090642"|"81281007"
"SIC"|No |Yes|"Silty clay"|"41090643"|"81281008"
"C"|No |Yes|"Clay"|"41090644"|"81281009"
"C"|No |Yes|"Clay"|"41090645"|"81281010"
"MUCK"|No |Yes|"Muck"|"41090646"|"81281011"
"C"|No |Yes|"Clay"|"41090647"|"81281012"
"C"|No |Yes|"Clay"|"41090648"|"81281013"
"C"|No |No |"Clay"|"41090649"|"81281014"
"SIC"|No |No |"Silty clay"|"41090649"|"81281015"
"SR- SIC C"|Yes|Yes|"Stratified silty clay to clay"|"41090650"|"81281016"
"CEM"|No |Yes|"Cemented"|"41090651"|"81281017"
"S"|No |Yes|"Sand"|"41090652"|"81281018"
"C"|No |Yes|"Clay"|"41090653"|"81281019"
"MPT"|No |Yes|"Mucky peat"|"41090654"|"81281020"
"MPT"|No |No |"Mucky peat"|"41090655"|"81281021"
