"Silty clay"||"81281082"|"82715463"
"Sand"||"81281096"|"82715477"
"Silt"||"81281096"|"82715478"
"Silty clay loam"||"81281097"|"82715479"
"Silty clay"||"81281098"|"82715480"
"Silty clay"||"81281099"|"82715481"
"Silty clay"||"81281112"|"82715494"
"Silty clay"||"81281113"|"82715495"
"Silty clay loam"||"81281114"|"82715496"
"Silty clay"||"81281115"|"82715497"
"Clay"||"81281116"|"82715498"
"Clay"||"81281129"|"82715511"
"Silty clay"||"81281130"|"82715512"
"Silty clay"||"81281131"|"82715513"
"Silty clay"||"81281132"|"82715514"
"Silty clay loam"||"81281146"|"82715528"
"Silty clay loam"||"81281147"|"82715529"
|"Weathered bedrock"|"81281148"|"82715530"
"Silty clay"||"81281149"|"82715531"
"Loamy sand"||"81281163"|"82715546"
"Sand"||"81281164"|"82715547"
"Clay loam"||"81281165"|"82715548"
"Clay"||"81281166"|"82715549"
"Silty clay"||"81281179"|"82715566"
"Silty clay"||"81281180"|"82715567"
"Silty clay loam"||"81281181"|"82715568"
"Clay loam"||"81281182"|"82715569"
|"Weathered bedrock"|"81281183"|"82715570"
"Silty clay"||"81281196"|"82715583"
"Silty clay"||"81281197"|"82715584"
"Clay loam"||"81281198"|"82715585"
"Silty clay"||"81281199"|"82715586"
"Silt loam"||"81281213"|"82715600"
"Very fine sandy loam"||"81281214"|"82715601"
|"Cinders"|"81281215"|"82715602"
"Silt loam"||"81281216"|"82715603"
"Clay loam"||"81281229"|"82715617"
"Clay loam"||"81281230"|"82715618"
|"Cinders"|"81281230"|"82715619"
"Silt loam"||"81281231"|"82715620"
"Silty clay loam"||"81281232"|"82715621"
"Sand"||"81281232"|"82715622"
"Clay loam"||"81281233"|"82715623"
"Fine sandy loam"||"81281246"|"82715640"
"Silt loam"||"81281246"|"82715641"
"Sandy loam"||"81281247"|"82715642"
"Sandy loam"||"81281248"|"82715643"
"Coarse sand"||"81281249"|"82715644"
"Sand"||"81281263"|"82715659"
"Sand"||"81281264"|"82715660"
|"Cemented"|"81281265"|"82715661"
"Sand"||"81281266"|"82715662"
"Silt loam"||"81281280"|"82715676"
"Silty clay loam"||"81281281"|"82715677"
"Silt loam"||"81281282"|"82715678"
"Silt loam"||"81281283"|"82715679"
"Silty clay loam"||"81281296"|"82715692"
"Silty clay"||"81281297"|"82715693"
"Silty clay"||"81281298"|"82715694"
"Clay"||"81281299"|"82715695"
"Silty clay loam"||"81281313"|"82715709"
"Silty clay"||"81281314"|"82715710"
"Silty clay loam"||"81281315"|"82715711"
"Silty clay loam"||"81281316"|"82715712"
"Clay"||"81281330"|"82715726"
"Silty clay loam"||"81281331"|"82715727"
"Clay loam"||"81281332"|"82715728"
"Clay loam"||"81281333"|"82715729"
|"Unweathered bedrock"|"81281346"|"82715743"
"Silty clay loam"||"81281347"|"82715744"
"Silty clay loam"||"81281348"|"82715745"
"Silty clay"||"81281349"|"82715746"
"Silty clay loam"||"81281350"|"82715747"
|"Fragmental material"|"81281363"|"82715760"
"Silty clay loam"||"81281364"|"82715761"
"Silty clay"||"81281365"|"82715762"
|"Fragmental material"|"81281366"|"82715763"
|"Fragmental material"|"81281380"|"82715777"
"Loam"||"81281381"|"82715778"
