"Clay"||"107342038"|"109192739"
"Clay"||"107342040"|"109192594"
"Silty clay loam"||"107342045"|"109192600"
"Silty clay"||"107342047"|"109193040"
"Silty clay"||"107342054"|"109192610"
"Silty clay"||"107342056"|"109192529"
"Silt loam"||"107342062"|"109192526"
"Loam"||"107342063"|"109192677"
|"Bedrock"|"107342065"|"109192678"
"Silty clay loam"||"107342067"|"109192525"
"Silty clay loam"||"107342074"|"109192530"
"Sand"||"107342077"|"109192665"
"Silty clay loam"||"107342089"|"109192784"
"Silty clay loam"||"107342092"|"109192477"
|"Highly decomposed plant material"|"107342099"|"109192669"
|"Cobbles"|"107342101"|"109192671"
"Loam"||"107342103"|"109193071"
"Silt loam"||"107342104"|"109193072"
"Silty clay loam"||"107342105"|"109193160"
"Silty clay loam"||"107342110"|"109193180"
"Silty clay loam"||"107342112"|"109193178"
|"Bedrock"|"107342121"|"109192912"
"Silty clay loam"||"107342123"|"109192460"
"Silty clay"||"107342131"|"109192812"
"Silty clay"||"107342134"|"109192660"
"Silty clay loam"||"107342135"|"109192506"
"Silt loam"||"107342145"|"109192521"
"Silty clay"||"107342147"|"109192522"
"Clay"||"107342158"|"109192687"
"Silty clay"||"107342159"|"109192539"
"Clay"||"107342161"|"109192688"
"Silty clay"||"107342169"|"109192989"
"Clay"||"107342171"|"109192553"
"Clay loam"||"107342177"|"109192998"
"Clay"||"107342179"|"109192707"
"Silty clay"||"107342180"|"109192562"
"Silty clay loam"||"107342189"|"109192577"
"Silt loam"||"107342190"|"109192870"
"Silt loam"||"107342191"|"109192507"
"Silt loam"||"107342193"|"109192724"
"Silt loam"||"107342194"|"109192661"
"Silty clay loam"||"107342195"|"109193015"
"Loam"||"107342204"|"109192878"
"Silt loam"||"107342205"|"109192734"
"Clay"||"107342207"|"109192597"
"Silty clay loam"||"107342212"|"109192466"
"Silty clay loam"||"107342214"|"109192618"
|"Bedrock"|"107342221"|"109192897"
"Silty clay loam"||"107342223"|"109192899"
"Silty clay"||"107342230"|"109192673"
"Silty clay"||"107342232"|"109192674"
|"Cobbles"|"107342238"|"109192520"
"Clay loam"||"107342240"|"109193089"
"Silty clay loam"||"107342241"|"109193129"
"Silty clay loam"||"107342250"|"109193088"
|"Paragravel"|"107342252"|"109192905"
"Silt loam"||"107342262"|"109192758"
"Loam"||"107342264"|"109193108"
|"Material"|"107342269"|"109192760"
|"Bedrock"|"107342271"|"109192761"
"Sand"||"107342279"|"109192481"
"Silty clay"||"107342281"|"109192787"
"Loam"||"107342289"|"109192631"
"Loamy sand"||"107342291"|"109192632"
"Sand"||"107342296"|"109192491"
"Clay loam"||"107342298"|"109192797"
"Sandy loam"||"107342305"|"109192794"
"Silty clay loam"||"107342307"|"109192652"
"Sand"||"107342316"|"109192939"
"Loam"||"107342318"|"109192646"
"Silty clay loam"||"107342323"|"109192802"
"Silty clay loam"||"107341598"|"109192833"
"Silty clay loam"||"107341599"|"109192684"
"Silty clay loam"||"107341600"|"109192970"
|"Cobbles"|"107341601"|"109192971"
|"Bedrock"|"107341602"|"109192972"
"Clay loam"||"107341617"|"109192549"
"Silty clay loam"||"107341618"|"109192697"
"Silty clay loam"||"107341619"|"109192993"
"Silty clay"||"107341620"|"109192555"
"Silty clay loam"||"107341621"|"109192992"
"Silty clay"||"107341622"|"109192991"
"Silty clay"||"107341639"|"109192463"
"Silty clay loam"||"107341640"|"109192616"
"Silty clay"||"107341641"|"109193021"
"Silty clay"||"107341642"|"109193022"
"Silty clay"||"107341643"|"109192581"
"Clay"||"107341657"|"109192740"
"Clay"||"107341658"|"109192887"
"Clay"||"107341659"|"109192596"
"Silty clay"||"107341660"|"109192742"
"Silty clay loam"||"107341673"|"109192625"
"Clay loam"||"107341674"|"109192473"
"Silty clay loam"||"107341675"|"109192474"
"Clay loam"||"107341676"|"109192781"
"Silty clay loam"||"107341677"|"109192782"
"Clay loam"||"107341678"|"109192783"
"Silty clay loam"||"107341679"|"109192921"
"Silty clay loam"||"107341680"|"109192626"
"Silty clay"||"107341692"|"109193102"
"Silty clay"||"107341693"|"109193139"
|"Bedrock"|"107341694"|"109193087"
"Loam"||"107341695"|"109192517"
"Silt loam"||"107341713"|"109193154"
"Loam"||"107341714"|"109193155"
|"Cobbles"|"107341715"|"109193156"
|"Material"|"107341716"|"109193055"
|"Bedrock"|"107341717"|"109193113"
"Silty clay loam"||"107341734"|"109192780"
"Silty clay"||"107341735"|"109192472"
|"Bedrock"|"107341736"|"109192621"
"Silty clay"||"107341737"|"109192622"
"Silty clay loam"||"107341757"|"109192682"
"Silty clay"||"107341758"|"109192533"
"Silty clay loam"||"107341759"|"109192966"
"Silty clay loam"||"107341760"|"109192967"
"Silty clay loam"||"107341779"|"109192703"
"Silt loam"||"107341780"|"109192557"
|"Bedrock"|"107341781"|"109192851"
"Silty clay loam"||"107341782"|"109192850"
"Silt loam"||"107341783"|"109192849"
"Loam"||"107341784"|"109192558"
"Clay loam"||"107341801"|"109192716"
"Clay loam"||"107341802"|"109192570"
"Silty clay"||"107341803"|"109192861"
"Silty clay loam"||"107341804"|"109192862"
"Clay loam"||"107341805"|"109192863"
|"Cobbles"|"107341820"|"109192872"
|"Material"|"107341821"|"109192583"
"Loam"||"107341822"|"109192873"
"Silt loam"||"107341823"|"109192874"
"Silty clay"||"107341840"|"109193027"
"Clay"||"107341841"|"109193028"
"Clay"||"107341842"|"109193029"
"Silt loam"||"107341843"|"109193034"
"Silty clay"||"107341858"|"109192608"
"Silty clay"||"107341859"|"109192752"
"Silty clay"||"107341860"|"109192609"
"Silty clay"||"107341861"|"109192900"
|"Cobbles"|"107341874"|"109192668"
|"Bedrock"|"107341875"|"109192817"
|"Bedrock"|"107341876"|"109192818"
|"Cobbles"|"107341877"|"109192519"
|"Highly decomposed plant material"|"107341878"|"109192820"
"Loam"||"107341895"|"109193172"
"Silt loam"||"107341896"|"109193173"
"Silt loam"||"107341897"|"109193174"
|"Cobbles"|"107341898"|"109193101"
"Clay loam"||"107341915"|"109193059"
"Silty clay loam"||"107341916"|"109193060"
"Very fine sandy loam"||"107341917"|"109193061"
|"Cobbles"|"107341918"|"109193062"
"Silty clay"||"107341934"|"109192657"
"Clay"||"107341935"|"109192502"
"Clay"||"107341936"|"109192805"
"Silty clay"||"107341937"|"109192655"
"Clay"||"107341938"|"109192945"
"Silty clay loam"||"107341953"|"109192944"
"Silty clay"||"107341954"|"109192774"
"Silty clay"||"107341955"|"109192775"
"Silty clay loam"||"107341956"|"109192776"
"Silty clay"||"107341957"|"109192777"
"Silty clay loam"||"107341958"|"109192470"
"Silty clay"||"107341977"|"109193066"
"Loam"||"107341978"|"109193078"
"Silty clay loam"||"107341994"|"109192683"
|"Cobbles"|"107341995"|"109192535"
"Silty clay loam"||"107341996"|"109192973"
"Silty clay loam"||"107341997"|"109192685"
